[674825.6539548028, 3544069.6685804646]
[665457.426540035, 3539050.646625008]
[672412.6268098846, 3536998.251951817]
[662573.8188868109, 3539519.168444747]
[669416.9280826122, 3532065.8925799127]
[677065.1236928906, 3548585.5726243476]
[668367.5573251931, 3549530.147241637]
[665286.0509501657, 3554212.5104597304]
[666288.6479285879, 3540205.045327395]
[669867.071708934, 3548833.3621170763]
[673793.5141342125, 3537792.623958819]
[668348.7087116553, 3549454.052699101]
[673793.5141342125, 3537792.623958819]
[671495.5696355394, 3539263.8290464627]
[674688.8497745194, 3544884.134296929]
[675786.3300828591, 3555652.884522932]
[681980.1478422206, 3560555.2238468616]
[669380.0338822488, 3548864.535134819]
[679758.9437946726, 3554359.1459439197]
[663744.0518688435, 3552272.2810470574]
[670325.8972975244, 3554064.694245338]
[665700.7382758837, 3546035.4840584197]
[666421.6388441582, 3551617.5540063675]
[669676.2244247108, 3549894.6786873033]
[663477.7494855376, 3541585.1283135675]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[671416.1369719288, 3552846.820754449]
[671495.5696355394, 3539263.8290464627]
[668654.4961519409, 3535003.258345195]
[669380.0338822488, 3548864.535134819]
[667620.2964156789, 3546559.5966356355]
[666133.71176818, 3546762.9017439284]
[669380.0338822488, 3548864.535134819]
[661192.7227747315, 3545698.0246641473]
[675483.8706717682, 3549707.8300870243]
[659926.5732113014, 3544256.4539553765]
[659926.5732113014, 3544256.4539553765]
[669380.0338822488, 3548864.535134819]
[660504.3751240434, 3546973.6382523067]
[660119.134334001, 3544138.5131430384]
[659877.0304207709, 3543925.197732101]
[675170.1971788744, 3544871.542551271]
[653102.9458638701, 3549641.2956103906]
[659926.5732113014, 3544256.4539553765]
[675483.8706717682, 3549707.8300870243]
[666889.8790887697, 3545505.9070035107]
[669278.1329578802, 3553900.0985389855]
[668064.7421855084, 3549490.8682984095]
[659947.6239964674, 3544015.0627848436]
[675483.8706717682, 3549707.8300870243]
[668854.0799853817, 3547033.697461659]
[668192.6283835832, 3548044.9894570755]
[665114.2628347462, 3546093.63025624]
[664683.8776576052, 3552349.174499466]
[659926.5732113014, 3544256.4539553765]
[659926.5732113014, 3544256.4539553765]
[659926.5732113014, 3544256.4539553765]
[667463.3618414927, 3552810.8365503238]
[668200.9589145468, 3533172.995207911]
[669380.0338822488, 3548864.535134819]
[667850.0495364177, 3557238.502297577]
[675929.3290195673, 3549707.727251926]
[675483.8706717682, 3549707.8300870243]
[671148.7158680569, 3562790.47452769]
[670821.9749985278, 3555152.394715544]
[667952.6290370785, 3545344.773562041]
[668530.2663215578, 3548940.216490872]
[681775.9146604242, 3556505.552686668]
[673793.5141342125, 3537792.623958819]
[671732.296506937, 3551574.4330720897]
[677065.1236928906, 3548585.5726243476]
[665757.366138944, 3552619.72644265]
[669380.0338822488, 3548864.535134819]
[666036.7805551201, 3546471.8241023817]
[663105.9859977786, 3547846.6519600675]
[663999.1701175431, 3546644.9402574436]
[671734.4945961935, 3537045.4456223636]
[666286.1921209858, 3539162.0201196633]
[669940.7240041108, 3547500.481464241]
[663614.569183058, 3546618.773837207]
[681283.1286755069, 3558212.0931022605]
[664807.3716662794, 3532536.6062693023]
[664807.3716662794, 3532536.6062693023]
[682823.2903476111, 3556095.510638198]
[670253.8678786533, 3536665.8195781754]
[673639.9866565032, 3551423.3287698906]
[668756.7937646981, 3546724.847123452]
[665237.1747424735, 3534526.4614107152]
[677720.0845924075, 3559821.706854563]
[665237.1747424735, 3534526.4614107152]
[675483.8706717682, 3549707.8300870243]
[669380.0338822488, 3548864.535134819]
[666692.8743587793, 3542484.4119025213]
[663973.6408796638, 3544113.667204719]
[674008.7244396543, 3553449.823310388]
[669380.0338822488, 3548864.535134819]
[664249.1121127268, 3545769.8095166176]
[671627.1393411519, 3539608.0660204077]
[664913.2513372616, 3546080.6036277246]
[674059.2169421494, 3536749.5947091808]
[672383.8222441727, 3535874.3957698424]
[674741.7901391214, 3545587.3143072193]
[672977.3081148166, 3559406.1784913368]
[669450.6223906883, 3554143.8347405302]
[669363.1824558798, 3551495.3305533216]
[661375.3891572524, 3539875.356390929]
[675485.4712808721, 3546060.603511321]
[667675.8052851001, 3544599.893758018]
[669230.9823884786, 3553108.65044765]
[668042.3767257029, 3546719.7917480255]
[680032.0755041592, 3550745.3479917115]
[661885.24245287, 3539577.652002652]
[673793.5141342125, 3537792.623958819]
[676013.7723387534, 3541402.379233367]
[669380.0338822488, 3548864.535134819]
[665727.7132591188, 3538273.0617190194]
[681695.0235258493, 3553933.2486360692]
[672057.5565924657, 3552610.318119706]
[669380.0338822488, 3548864.535134819]
[670770.7410015827, 3530892.823899081]
[669380.0338822488, 3548864.535134819]
[664378.0736219175, 3553611.684611807]
[676356.669647078, 3548799.797933137]
[663858.5317771004, 3547811.792672366]
[673793.5141342125, 3537792.623958819]
[672422.2156615967, 3562030.6982860332]
[675929.3290195673, 3549707.727251926]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[675929.3290195673, 3549707.727251926]
[663721.4624855143, 3548026.412774652]
[669380.0338822488, 3548864.535134819]
[669097.1860061382, 3549352.592241192]
[662998.5902203538, 3569490.405701579]
[667414.475650002, 3547975.4722220902]
[664516.6973261428, 3547683.143197035]
[669097.1860061382, 3549352.592241192]
[673975.1646305253, 3547877.7685060613]
[662393.0140441464, 3542332.580204321]
[672746.38937652, 3553105.760107141]
[673793.5141342125, 3537792.623958819]
[669029.3848589282, 3560046.4172193795]
[671477.8908172343, 3546401.4282664172]
[669249.9255481731, 3545049.2998519633]
[668939.7882228805, 3550441.566536631]
[667003.5047929093, 3548193.8618415142]
[669043.2693156055, 3550247.663896938]
[666036.7805551201, 3546471.8241023817]
[670336.2350967011, 3553917.6438171226]
[668043.7888123313, 3547334.516415581]
[675929.3290195673, 3549707.727251926]
[679758.9437946726, 3554359.1459439197]
[662422.2614722683, 3544158.518387982]
[668588.2776272928, 3546021.922278802]
[683193.00157928, 3552537.95528685]
[670287.752229566, 3554949.434035427]
[669230.9823884786, 3553108.65044765]
[672721.3321397515, 3545819.1908953344]
[681105.1276906097, 3549069.3158316836]
[669380.0338822488, 3548864.535134819]
[670586.344976279, 3548046.801854152]
[671309.7457112258, 3557447.9529889086]
[667478.2729777131, 3544946.2622700115]
[655889.0428339543, 3562535.8953453107]
[669185.1410470944, 3549781.117450243]
[677826.5464973076, 3539422.0631447905]
[681640.7350171767, 3550648.9374551317]
[673379.2347414952, 3544596.766854817]
[676956.9723891427, 3554298.7042039605]
[666581.23824746, 3544494.3319462943]
[669380.0338822488, 3548864.535134819]
[678023.8238243884, 3549920.9083011793]
[669380.0338822488, 3548864.535134819]
[664725.1918968282, 3546563.1278297566]
[677709.5827771113, 3557892.2265114062]
[660042.6988374272, 3558456.6587279025]
[669247.653718539, 3554213.710223147]
[681416.1608896016, 3549250.64393778]
[677565.2411809243, 3559483.8720419323]
[672045.6788328269, 3546985.04676607]
[662453.6530249987, 3538052.681024086]
[662739.2193824829, 3541080.5978118437]
[680048.3241597102, 3555182.9339869767]
[671568.2546330255, 3562586.555072592]
[665253.7784575452, 3540792.0557412044]
[665975.2926646052, 3533174.7520111455]
[667569.4001087495, 3555365.674179296]
[680032.0755041592, 3550745.3479917115]
[669635.827957454, 3543198.687885381]
[663260.0593825809, 3540769.7140229]
[671871.4491301206, 3534526.4381193602]
[667788.868798722, 3551175.1022136505]
[662393.0140441464, 3542332.580204321]
[665837.845106372, 3545673.212948721]
[666964.2068518964, 3547780.561436428]
[675416.2633673114, 3537410.015321593]
[661367.1662425051, 3538854.2945512477]
[664321.1370389148, 3541536.9314173693]
[678974.0512903177, 3558802.8987329477]
[678495.7733626803, 3549278.895303848]
[671129.646440089, 3558150.6307097482]
[663152.4848616173, 3539426.454607736]
[680242.5809474032, 3557853.5929762106]
[678495.7733626803, 3549278.895303848]
[669854.1647809369, 3554606.320001095]
[666234.221158006, 3543887.132018449]
[667397.6646669605, 3545282.245441427]
[671177.1896202893, 3559045.834131509]
[664805.8125095656, 3546259.619484335]
[675459.9928458859, 3538316.6623714864]
[667569.4001087495, 3555365.674179296]
[665229.8994849051, 3555179.996990037]
[675651.8833997208, 3541903.7431967524]
[656712.0730421657, 3538427.0100394245]
[667479.5796533686, 3543848.9120644596]
[668994.9521814301, 3536632.5071099643]
[671682.451238912, 3555098.4864060027]
[662197.5981819201, 3548078.4934919076]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[665538.9448225154, 3546978.4592658808]
[671170.008086069, 3558195.763983944]
[663146.6881921854, 3543780.317396011]
[669380.0338822488, 3548864.535134819]
[666747.1857469481, 3542736.09476621]
[678765.9074189146, 3553835.2322313655]
[673518.2176639084, 3545675.8061626125]
[669380.0338822488, 3548864.535134819]
[669380.0338822488, 3548864.535134819]
[677750.4394391612, 3553583.731841369]
[678219.6819281086, 3553368.816414245]
[666127.942198053, 3541208.894586317]
[669380.0338822488, 3548864.535134819]
[669730.5223382637, 3556641.394753568]
[667113.4178008919, 3554148.6087781494]
[671214.2184283066, 3548790.606251465]
